Order	Suborder	Family	Cross	Distance
Lepidoptera	"Butterfly"	Papilionidae	Papilio_rumanzovia_X_Papilio_polymnestor	0.0415430267062315
Lepidoptera	"Butterfly"	Papilionidae	Papilio_rutulus_X_Papilio_multicaudatus	0.0305188199389624
Lepidoptera	"Butterfly"	Papilionidae	Papilio_scamander_X_Papilio_palamedes	0.0690423162583519
Lepidoptera	"Butterfly"	Papilionidae	Papilio_xuthus_X_Average	0.0863432545806344
Lepidoptera	"Butterfly"	Papilionidae	Parnassius_nomion_X_Parnassius_bremeri	0.0449438202247191
Lepidoptera	"Butterfly"	Papilionidae	Parnassius_phoebus_X_Parnassius_apollo	0.0211920529801325
Lepidoptera	"Butterfly"	Pieridae	Anthocharis_cardamines_X_Average	0.0724417426545086
Lepidoptera	"Butterfly"	Pieridae	Colias_crocea_X_Average	0.0273567796884614
Lepidoptera	"Butterfly"	Pieridae	Colias_eurytheme_X_Average	0.017993821640953
Lepidoptera	"Butterfly"	Pieridae	Colias_hyale_X_Colias_alfacariensis	0.0208023774145617
Lepidoptera	"Butterfly"	Pieridae	Colias_philodice_X_Colias_interior	0.00578034682080925
Lepidoptera	"Butterfly"	Pieridae	Leptidea_sinapis_X_Leptidea_reali	0.0115440115440115
Lepidoptera	"Butterfly"	Pieridae	Pieris_mannii_X_Average	0.0569908814589666
Lepidoptera	"Butterfly"	Pieridae	Pieris_marginalis_X_Average	0.0152102908587898
Lepidoptera	"Butterfly"	Pieridae	Pieris_napi_X_Average	0.0293705109682506
Lepidoptera	"Butterfly"	Pieridae	Pontia_daplidice_X_Average	0.0907771463432698
Lepidoptera	"Moth"	Crambidae	Ostrinia_furnacalis_X_Average	0.0190614349348467
Lepidoptera	"Moth"	Crambidae	Ostrinia_zealis_X_Ostrinia_zaguliaevi	0.0137404580152672
Lepidoptera	"Moth"	Crambidae	Udea_uliginosalis_X_Udea_alpinalis	0.021602787456446
Lepidoptera	"Moth"	Drepanidae	Drepana_falcataria_X_Drepana_curvatula	0.0454545454545455
Lepidoptera	"Moth"	Erebidae	Orgyia_thyellina_X_Orgyia_antiqua	0.0925373134328358
Lepidoptera	"Moth"	Geometridae	Epirrita_autumnata_X_Average	0.0434247603768152
Lepidoptera	"Moth"	Geometridae	Epirrita_filigrammaria_X_Epirrita_dilutata	0.0715372907153729
