Sp1	Sp2	Condition	MainTopic	Authors	Year	Article
Citheronia regalis	Citheronia splendens	Laboratory	Yes	Adamski, D; Marques, D; Mayo, KG; Mayo, R.	2019	DESCRIPTION OF LARVAL AND PUPAL STAGES OF A BILATERAL GYNANDROMORPH REARED FROM A CROSS BETWEEN CITHERONIA REGALIS (FABR.) AND C. SPLENDENS (DRUCE) (LEPIDOPTERA: SATURNIIDAE)
Melitaea ornata	Melitaea phoebe	Field	Yes	Russell, P; Bartolozzi, L.	2019	A revisit to the Melitaea taxon nigrogygia Verity, 1939 (Lepidoptera: Nymphalidae) and designation of a Lectotype
Antheraea pernyi	Antheraea roylei	Field	Yes	Yang, J; Zhang, RS; Chen, DB; Chen, MM; Li, YP; Liu, YQ.	2019	The complete mitochondrial genome of Antheraea proylei strain In981 (Lepidoptera: Saturniidae)
Thaumetopoea pityocampa	Thaumetopoea wilkinsoni	Field	Yes	Ipekdal, K; Burban, C; Saune, L; Battisti, A; Kerdelhue, C.	2020	From refugia to contact: Pine processionary moth hybrid zone in a complex biogeographic setting
Adscita alpina	Adscita italica	Field	Yes	Efetov, KA; Kucherenko, EE; Tarmann, GM.	2020	"An application of the synthetic sex attractants from the series ""EFETOV-2"" for studying Procridinae in Italy (Lepidoptera: Zygaenidae)"
Junonia coenia	Junonia zonalis	Field	Yes	Lalonde, MML; Marcus, JM.	2020	BACK TO THE FUTURE: UPDATES ON THE INVASION HISTORY OF JUNONIA BUTTERFLIES IN FLORIDA AND THE MYSTERY OF CHOKOLOSKEE
Ahlbergia frivaldszkyi	Callophrys rubi	Field	Yes	Shapoval, NA; Yakovlev, RV; Kuftina, GN; Lukhtanov, VA; Knyazev, SA; Romanovich, AE; Krupitsky, AV. 2021	2021	Identification of Natural Hybrids between Ahlbergia frivaldszkyi (Lederer, 1853) and Callophrys rubi (Linnaeus, 1758) (Lepidoptera, Lycaenidae) Using Mitochondrial and Nuclear Markers
Melitaea acentria	Melitaea acentria	Field	Yes	Pazhenkova, EA; Lukhtanov, VA.	2021	Genomic introgression from a distant congener in the Levant fritillary butterfly, Melitaea acentria
Pelopidas agna	Pelopidas mathias	Field	Yes	Goonesekera, K; Lee, PLM; Van der Poorten, G; Ranawaka, G.	2021	A global comparison of DNA sequences of Pelopidas (Lepidoptera: Hesperiidae) reveals discordance between morphological and genetic data, and an insular 'ghost' population
Pseudophilotes baton	Pseudophilotes vicrama	Field	No	Bartonova, AS; Konvicka, M; Maresova, J; Wiemers, M; Ignatev, N; Wahlberg, N; Schmitt, T; Fric, ZF.	2021	Wolbachia affects mitochondrial population structure in two systems of closely related Palaearctic blue butterflies
Hyles chamyla	Hyles hippophaes	Field	Yes	Patzold, F; Marabuto, E; Daneck, H; O'Neill, MA; Kitching, IJ; Hundsdoerfer, AK.	2021	The Phylogenetics and Biogeography of the Central Asian Hawkmoths, Hyles hippophaes and H. chamyla: Can Mitogenomics and Machine Learning Bring Clarity?
Papilio constantinus	Papilio phorcas	Laboratory	Yes	CLARKE, CA; GORDON, IJ; SMITH, CR; VANEWRIGHT, RI.	1991	PHYLOGENETIC-RELATIONSHIPS OF 3 AFRICAN SWALLOWTAIL BUTTERFLIES, PAPILIO-DARDANUS, P-PHORCAS AND P-CONSTANTINUS - NEW DATA FROM HYBRIDS (LEPIDOPTERA, PAPILIONIDAE)
