Sp1	Sp2	Authors	Condition	Year	MainTopic	Article
Cotesia flavipes	Cotesia sesamie	KIMANI, SW; OVERHOLT, WA.	Laboratory	1995	Yes	BIOSYSTEMATICS OF THE COTESIA-FLAVIPES COMPLEX (HYMENOPTERA, BRACONIDAE) - INTERSPECIFIC HYBRIDIZATION, SEX-PHEROMONE AND MATING BEHAVIOR STUDIES 
Cotesia flavipes	Cotesia chilonis	KIMANI, SW; OVERHOLT, WA.	Laboratory	1995	Yes	BIOSYSTEMATICS OF THE COTESIA-FLAVIPES COMPLEX (HYMENOPTERA, BRACONIDAE) - INTERSPECIFIC HYBRIDIZATION, SEX-PHEROMONE AND MATING BEHAVIOR STUDIES 
Tetragonula carbonaria	Tetragonula hockingsi	Brito, RM; Francisco, FO; Ho, SYW; Oldroyd, BP.	Field	2014	Yes	Genetic architecture of the Tetragonula carbonaria species complex of Australian stingless bees (Hymenoptera: Apidae: Meliponini)
Epimyrma corsica	Epimyrma adlerzi	JESSEN, K; KLINKICHT, M.	Laboratory	1990	Yes	HYBRIDIZATION IN THE SOCIAL PARASITIC ANT GENUS EPIMYRMA (HYMENOPTERA, FORMICIDAE)
Epimyrma corsica	Epimyrma kraussei	JESSEN, K; KLINKICHT, M.	Laboratory	1990	Yes	HYBRIDIZATION IN THE SOCIAL PARASITIC ANT GENUS EPIMYRMA (HYMENOPTERA, FORMICIDAE)
Epimyrma corsica	Epimyrma algeriana	JESSEN, K; KLINKICHT, M.	Laboratory	1990	Yes	HYBRIDIZATION IN THE SOCIAL PARASITIC ANT GENUS EPIMYRMA (HYMENOPTERA, FORMICIDAE)
Epimyrma adlerzi	Epimyrma kraussei	JESSEN, K; KLINKICHT, M.	Laboratory	1990	Yes	HYBRIDIZATION IN THE SOCIAL PARASITIC ANT GENUS EPIMYRMA (HYMENOPTERA, FORMICIDAE)
Epimyrma adlerzi	Epimyrma algeriana	JESSEN, K; KLINKICHT, M.	Laboratory	1990	Yes	HYBRIDIZATION IN THE SOCIAL PARASITIC ANT GENUS EPIMYRMA (HYMENOPTERA, FORMICIDAE)
Epimyrma kraussei	Epimyrma bernardi	JESSEN, K; KLINKICHT, M.	Laboratory	1990	Yes	HYBRIDIZATION IN THE SOCIAL PARASITIC ANT GENUS EPIMYRMA (HYMENOPTERA, FORMICIDAE)
Epimyrma kraussei	Epimyrma algeriana	JESSEN, K; KLINKICHT, M.	Laboratory	1990	Yes	HYBRIDIZATION IN THE SOCIAL PARASITIC ANT GENUS EPIMYRMA (HYMENOPTERA, FORMICIDAE)
Nasonia oneida	Nasonia giraulti	Raychoudhury, R; Desjardins, CA; Buellesbach, J; Loehlin, DW; Grillenberger, BK; Beukeboom, L; Schmitt, T; Werren, JH.	Laboratory	2010	Yes	Behavioral and genetic characteristics of a new species of Nasonia
Nasonia oneida	Nasiona vitripennis	Raychoudhury, R; Desjardins, CA; Buellesbach, J; Loehlin, DW; Grillenberger, BK; Beukeboom, L; Schmitt, T; Werren, JH.	Laboratory	2010	Yes	Behavioral and genetic characteristics of a new species of Nasonia
Nasonia oneida	Nasonia longicornis	Raychoudhury, R; Desjardins, CA; Buellesbach, J; Loehlin, DW; Grillenberger, BK; Beukeboom, L; Schmitt, T; Werren, JH.	Laboratory	2010	Yes	Behavioral and genetic characteristics of a new species of Nasonia
Andrena scurra	Andrena ellisiae	LANHAM, UN.	Field	1984	Yes	THE HYBRID SWARM OF ANDRENA (HYMENOPTERA, APOIDEA) IN WESTERN NORTH-AMERICA - A POSSIBLE SOURCE FOR THE EVOLUTIONARY ORIGIN OF A NEW SPECIES
Formica aquilonia 	Formica lugubris	Seifert, B.	Field	2021	Yes	A taxonomic revision of the Palaearctic members of the Formica rufa group (Hymenoptera: Formicidae) - the famous mound-building red wood ants
Formica lugubris	Formica pratensis	Seifert, B.	Field	2021	Yes	A taxonomic revision of the Palaearctic members of the Formica rufa group (Hymenoptera: Formicidae) - the famous mound-building red wood ants
Formica lugubris	Formica rufa	Seifert, B.	Field	2021	Yes	A taxonomic revision of the Palaearctic members of the Formica rufa group (Hymenoptera: Formicidae) - the famous mound-building red wood ants
Formica aquilonia 	Formica paralugubris	Seifert, B.	Field	2021	Yes	A taxonomic revision of the Palaearctic members of the Formica rufa group (Hymenoptera: Formicidae) - the famous mound-building red wood ants
