Suborder	Family	Sp1	Sp2	Condition	MainTopic	Authors	Year	Article
"""Ant"""	Formicidae	Solenopsis invicta	Solenopsis richteri	Field	Yes	"Diffie, S; Bass, MH; Bondari, K."	1997	Winter survival of Solenopsis invicta and the Solenopsis hybrid (Hymenoptera: Formicidae) in Georgia
"""Ant"""	Formicidae	Temnothorax adlerzi	Temnothorax algeriana	Laboratory	Yes	"JESSEN, K; KLINKICHT, M."	1990	"HYBRIDIZATION IN THE SOCIAL PARASITIC ANT GENUS EPIMYRMA (HYMENOPTERA, FORMICIDAE)"
"""Ant"""	Formicidae	Temnothorax adlerzi	Temnothorax kraussei	Laboratory	Yes	"JESSEN, K; KLINKICHT, M."	1990	"HYBRIDIZATION IN THE SOCIAL PARASITIC ANT GENUS EPIMYRMA (HYMENOPTERA, FORMICIDAE)"
"""Ant"""	Formicidae	Temnothorax albipennis	Temnothorax nigriceps	Field	Yes	"Seifert, B."	1999	"Interspecific hybridisations in natural populations of ants by example of a regional fauna (Hymenoptera, Formicidae)"
"""Ant"""	Formicidae	Temnothorax albipennis	Temnothorax tuberum	Field	Yes	"Seifert, B."	1999	"Interspecific hybridisations in natural populations of ants by example of a regional fauna (Hymenoptera, Formicidae)"
"""Ant"""	Formicidae	Temnothorax albipennis	Temnothorax unifasciatus	Field	Yes	"Seifert, B."	1999	"Interspecific hybridisations in natural populations of ants by example of a regional fauna (Hymenoptera, Formicidae)"
"""Ant"""	Formicidae	Temnothorax corsica	Temnothorax adlerzi	Laboratory	Yes	"JESSEN, K; KLINKICHT, M."	1990	"HYBRIDIZATION IN THE SOCIAL PARASITIC ANT GENUS EPIMYRMA (HYMENOPTERA, FORMICIDAE)"
"""Ant"""	Formicidae	Temnothorax corsica	Temnothorax algeriana	Laboratory	Yes	"JESSEN, K; KLINKICHT, M."	1990	"HYBRIDIZATION IN THE SOCIAL PARASITIC ANT GENUS EPIMYRMA (HYMENOPTERA, FORMICIDAE)"
"""Ant"""	Formicidae	Temnothorax corsica	Temnothorax kraussei	Laboratory	Yes	"JESSEN, K; KLINKICHT, M."	1990	"HYBRIDIZATION IN THE SOCIAL PARASITIC ANT GENUS EPIMYRMA (HYMENOPTERA, FORMICIDAE)"
"""Ant"""	Formicidae	Temnothorax crassispinus	Temnothorax crasecundus	Field	Yes	"Seifert, B; Csosz, S. "	2015	"Temnothorax crasecundus sp n. - a cryptic Eurocaucasian ant species (Hymenoptera, Formicidae) discovered by Nest Centroid Clustering"
"""Ant"""	Formicidae	Temnothorax kraussei	Temnothorax algeriana	Laboratory	Yes	"JESSEN, K; KLINKICHT, M."	1990	"HYBRIDIZATION IN THE SOCIAL PARASITIC ANT GENUS EPIMYRMA (HYMENOPTERA, FORMICIDAE)"
"""Ant"""	Formicidae	Temnothorax kraussei	Temnothorax bernardi	Laboratory	Yes	"JESSEN, K; KLINKICHT, M."	1990	"HYBRIDIZATION IN THE SOCIAL PARASITIC ANT GENUS EPIMYRMA (HYMENOPTERA, FORMICIDAE)"
"""Ant"""	Formicidae	Temnothorax nigriceps	Temnothorax unifasciatus	Field	Yes	"Seifert, B."	1999	"Interspecific hybridisations in natural populations of ants by example of a regional fauna (Hymenoptera, Formicidae)"
"""Ant"""	Formicidae	Temnothorax nylanderi	Temnothorax crassispinus	Field	Yes	"Seifert, B."	1999	"Interspecific hybridisations in natural populations of ants by example of a regional fauna (Hymenoptera, Formicidae)"
"""Ant"""	Formicidae	Temnothorax tuberum	Temnothorax nigriceps	Field	Yes	"Seifert, B."	1999	"Interspecific hybridisations in natural populations of ants by example of a regional fauna (Hymenoptera, Formicidae)"
"""Other"""	Apidae	Tetragonula carbonaria	Tetragonula hockingsi	Field	Yes	"Brito, RM; Francisco, FO; Ho, SYW; Oldroyd, BP."	2014	Genetic architecture of the Tetragonula carbonaria species complex of Australian stingless bees (Hymenoptera: Apidae: Meliponini)
"""Ant"""	Formicidae	Tetramorium immigrans	Tetramorium caespitum	Field	Yes	"Cordonnier, M; Escarguel, G; Dumet, A; Kaufmann, B."	2020	Multiple mating in the context of interspecific hybridization between two Tetramorium ant species
"""Other"""	Torymidae	Torymus sinensis	Torymus beneficus	FIeld	Yes	"Yara, K; Yano, E; Sasawaki, T; Shiga, M. "	2000	"Detection of hybrids between introduced Torymus sinensis and native T-beneficus (Hymenoptera : Torymidae) in central Japan, using malic enzyme"
"""Other"""	Trichogrammatidae	Trichogramma minutum	Trichogramma platneri	Laboratory	Yes	"Pinto, JD; Platner, GR; Stouthamer, R."	2003	"The systematics of the Trichogramma minutum species complex (Hymenoptera : Trichogrammatidae), a group of important North American biological control agents: the evidence from reproductive compatibility and allozymes"
