Sp1	Sp2	Condition	MainTopic	Authors	Year	Article
Drosophila ezoana	Drosophila montana.	Field	Yes	Andrianov, BV; Romanov, DA; Sorokina, SY; Gorelova, TV.	2019	Comparative Analysis of Variation of the BOLD Fragment of Mitochondrial cox1 Gene and Y Chromosome kl-2 1-beta dynein heavy chain Gene in Drosophilavirilis Species Group (Diptera: Drosophilidae)
Tomoplagia reticulata	Tomoplagia pallens	Field	Yes	Abreu, AG; Solferini, VN.	NA	Genetic population structure and hybridization in two sibling species, Tomoplagia reticulata and Tomoplagia pallens (Diptera: Tephritidae)
Sepsis cynipsea	Sepsis neocynipsea	Laboratory	Yes	Giesen, A; Schafer, MA; Blanckenhorn, WU.	2019	Geographic patterns of postzygotic isolation between two closely related widespread dung fly species (Sepsis cynipsea and Sepsis neocynipsea; Diptera: Sepsidae)
Lutzomyia pseudolongipalpis	Lutzomyia longipalpis	Laboratory	Yes	Arrivillaga, J; Salerno, P; Rangel, Y.	2009	Asymmetric reproductive isolation between Lutzomyia pseudolongipalpis and Lutzomyia longipalpis (species C2), Neotropical vectors of visceral leishmaniasis (Diptera: Pshychodidae).
Drosophila gouveai	Drosophila antonietae	Laboratory	Yes	Soto, IM; Carreira, VP; Corio, C; Soto, EM; Hasson, E.	2010	Host use and developmental instability in the cactophilic sibling species Drosophila gouveai and D. antonietae
Zaprionus burlai	Zaprionus tuberculatus	Laboratory	No	Yassin, A.	2008	Molecular and Morphometrical Revision of the Zaprionus tuberculatus Species Subgroup (Diptera: Drosophilidae), with Descriptions of Two Cryptic Species
Culex pipiens	Culex quinquefasciatus	Field	Yes	ALMIRON, WR; HUMERES, SG; GARDENAL, CN.	1995	DISTRIBUTION AND HYBRIDIZATION BETWEEN CULEX-PIPIENS AND CULEX-QUINQUEFASCIATUS (DIPTERA, CULICIDAE) IN ARGENTINA
Chironomus plumosus	Chironomus behningi	Field	Yes	Polukonova, NV; Beljanina, SI.	2002	On the possibility of hybridogenesis in the origin of midge Chironomus usenicus Loginova et Beljanina (Chironomidae, Diptera)
Anopheles albitarsis	Anopheles deaneorum	Laboratory	Yes	Lima, JBP; Valle, D; Peixoto, AA.	2004	Analysis of reproductive isolation between sibling species Anopheles albitarsis sensu stricto and Anopheles deaneorum, two malaria vectors belonging to the Albitarsis complex (Diptera : Culicidae)
Drosophila parapallidosa	Drosophila ananassae	Field	Yes	Hama, Y; Lee, CY; Matsuda, M; Kamimura, Y; Sawamura, K.	2020	Long-term coexistence of a hybridization-derived population ofDrosophila parapallidosawith closely relatedDrosophila ananassae(Diptera: Drosophilidae)
Bactrocera tryoni	Bactrocera jarvisi	Laboratory	Yes	Cruickshank, L; Jessup, AJ; Cruickshank, DJ.	2001	Interspecific crosses of Bactrocera tryoni (Froggatt) and Bactrocera jarvisi (Tryon) (Diptera : Tephritidae) in the laboratory
Anopheles gambiae	Anopheles arabiensis	Field	No	Mawejje, HD; Wilding, CS; Rippon, EJ; Hughes, A; Weetman, D; Donnelly, MJ.	NA	Insecticide resistance monitoring of field-collected Anopheles gambiae s.l. populations from Jinja, eastern Uganda, identifies high levels of pyrethroid resistance
