Order	Sp1	Sp2	Assortative_Mating	Oviposition	Hybrid_Inviability	Haldanes_Rule	Fertile_F1_Hybrids	Reference
Lepidoptera	Heliconius erato	Heliconius himera	Y	Y	Y	Y	Y	Mallet, J; McMillan, WO; Jiggins, CD, 1998
Lepidoptera	Lycaena salustius	Lycaena feredayi	Y	Y	Y	?	?	MEYERROCHOW, VB, 1991
Lepidoptera	Malacosoma americanum	Malacosoma disstria	?	?	N	?	?	SAMPLE, BE, 1992
Lepidoptera	Ostrinia furnacalis	Ostrinia nubilalis	Y	Y	Y	Y	Y	Wang, YZ; Kim, KS; Guo, WC; Li, QY; Zhang, YY; Wang, ZY; Coates, BS, 2017
Lepidoptera	Ostrinia furnacalis	Ostrinia scapulalis	Y	Y	Y	Y	Y	Bourguet, D; Ponsard, S; Streiff, R; Meusnier, S; Audiot, P; Li, J; Wang, ZY, 2014
Lepidoptera	Ostrinia nubilalis	Ostrinia scapulalis	Y	Y	Y	Y	Y	Bourguet, D; Ponsard, S; Streiff, R; Meusnier, S; Audiot, P; Li, J; Wang, ZY, 2014
Lepidoptera	Ostrinia orientalis	Ostrinia nubilalis	?	Y	Y	Y	Y	Fu, X; Tabata, J; Huang, Y; Takanashi, T; Ohno, S; Honda, H; Tatsuki, S; Ishikawa, Y, 2004
Lepidoptera	Ostrinia scapulalis	Ostrinia zealis	?	Y	Y	Y	Y	Tabata, F; Ishikawa, Y, 2005
Lepidoptera	Papilio machaon	Papilio hospiton	Y	Y	Y	Y	?	Cianchi, R; Ungaro, A; Marini, M; Bullini, L, 2003
Lepidoptera	Spodoptera exigua	Spodoptera litura	N	?	?	?	?	Yan, Q; Liu, XL; Wang, YL; Tang, XQ; Shen, ZJ; Dong, SL; Den, JY, 2019
Lepidoptera	Spodoptera latitascia	Spodoptera descoinsi	?	Y	Y	Y	Y	Monti, L; Genermont, J; Malosse, C; LalanneCassou, B, 1997
Lepidoptera	Yponomeuta padella	Yponomeuta cagnagella	?	Y	Y	Y	Y	Hora, KH; Marec, F; Roessingh, P; Menken, SBJ.  2019
Odonata	Aeshna affinis	Aeshna cyanea	N	N	N	NA	NA	NA
Odonata	Aeshna canadensis	Aeshna subarctica	N	N	N	NA	NA	NA
Odonata	Aeshna confusa	Aeshna diffinis	Y	Y	Y	NA	NA	NA
Odonata	Aeshna cyanea	Aeshna juncea	Y	N	N	NA	NA	NA
Odonata	Aeshna cyanea	Cordulegaster boltonii	N	N	N	NA	NA	NA
Odonata	Aeshna cyanea	Sympetrum striolatum	N	N	N	NA	NA	NA
Odonata	Aeshna grandis	Aeshna viridis	N	N	N	NA	NA	NA
Odonata	Aeshna interrupta	Aeshna canadensis	Y	N	N	NA	NA	NA
Odonata	Aeshna juncea	Aeshna mixta	N	N	N	NA	NA	NA
Odonata	Aeshna subarctica	Aeshna juncea	N	N	N	NA	NA	NA
Odonata	Aeshna subarctica	Aeshna mixta	N	N	N	NA	NA	NA
Odonata	Anax imperator	Aeshna juncea	Y	N	N	NA	NA	NA
Odonata	Anax imperator	Anax parthenope	Y	Y	Y	NA	NA	NA
Odonata	Anax imperator	Cordulegaster boltonii	Y	N	N	NA	NA	NA
Odonata	Anax junius	Anax strenuus	N	N	N	NA	NA	NA
Odonata	Anax junius	Anax walsinghami	Y	N	N	NA	NA	NA
Odonata	Anax nigrofasciatus	Anax parthenope	Y	Y	Y	NA	NA	NA
Odonata	Argia emma	Argia vivida	N	N	N	NA	NA	NA
Odonata	Argia emma	Enallagma carunculatum	N	N	N	NA	NA	NA
Odonata	Argia plana	Argia moesta	Y	Y	N	NA	NA	NA
Odonata	Argia sedula	Enallagma basidens	N	N	N	NA	NA	NA
Odonata	Argia tibialis	Argia moesta	N	N	N	NA	NA	NA
Odonata	Argia tibialis	Lestes dryas	N	N	N	NA	NA	NA
Odonata	Boyeria grafiana	Boyeria vinosa	N	N	N	NA	NA	NA
Odonata	Brachytron pratense	Libellula quadrimaculata	N	N	N	NA	NA	NA
Odonata	Calopteryx aequabilis	Calopteryx maculata	Y	Y	N	NA	NA	NA
Odonata	Calopteryx dimidiata	Calopteryx maculata	Y	N	N	NA	NA	NA
Odonata	Calopteryx haemorrhoidalis	Calopteryx splendens	Y	N	N	NA	NA	NA
Odonata	Calopteryx orientalis	Calopteryx samarcandica	Y	Y	Y	NA	NA	NA
Odonata	Calopteryx splendens	Calopteryx virgo	Y	Y	Y	NA	NA	NA
Odonata	Calopteryx splendens	Platycnemis pennipes	N	N	N	NA	NA	NA
Odonata	Calopteryx virgo	Pyrrhosoma nymphula	N	N	N	NA	NA	NA
Odonata	Chalcolestes parvidens	Chalcolestes viridis	N	N	N	NA	NA	NA
Odonata	Chalcolestes viridis	Erythromma viridulum	N	N	N	NA	NA	NA
Odonata	Chalcolestes viridis	Lestes dryas	N	N	N	NA	NA	NA
Odonata	Chalcolestes viridis	Lestes virens	N	N	N	NA	NA	NA
Odonata	Chalcolestes viridis	Sympecma fusca	N	N	N	NA	NA	NA
Odonata	Coenagrion ornatum	Platycnemis pennipes	N	N	N	NA	NA	NA
Odonata	Coenagrion puella	Coenagrion pulchellum	Y	Y	Y	NA	NA	NA
Odonata	Coenagrion puella	Enallagma cyathigerum	Y	N	N	NA	NA	NA
Odonata	Coenagrion splendens	Coenagrion pulchellum	Y	Y	Y	NA	NA	NA
Odonata	Coenagrion viridis	Coenagrion parvidens	Y	Y	Y	NA	NA	NA
Odonata	Copera marginipes	Ceriagrion cerinorubellum	Y	N	N	NA	NA	NA
Odonata	Cordulegaster bilineata	Cordulegaster diastatops	Y	Y	Y	NA	NA	NA
Odonata	Cordulegaster boltonii	Somatochlora metallica	N	N	N	NA	NA	NA
Odonata	Cordulia aenea	Epitheca bimaculata	Y	N	N	NA	NA	NA
Odonata	Cordulia aenea	Somatochlora flavomaculata	Y	N	N	NA	NA	NA
Odonata	Cordulia shurtleffii	Leucorrhinia glaciallis	N	N	N	NA	NA	NA
Odonata	Crocothemis erythraea	Trithemis annulata	N	N	N	NA	NA	NA
Odonata	Davidius moiwanus	Gomphus chichibui	Y	N	N	NA	NA	NA
Odonata	Deielia phaon	Orthetrum albistylum	Y	N	N	NA	NA	NA
Odonata	Diplacodes lefebvrii	Trithemis arteriosa	N	N	N	NA	NA	NA
Odonata	Dorocordulia libera	Epitheca canis	N	N	N	NA	NA	NA
Odonata	Dromogomphus spinosus	Stylurus plagiatus	N	N	N	NA	NA	NA
Odonata	Dythemis multipunctata	Dythemis sterilis	Y	Y	Y	NA	NA	NA
Odonata	Elattoneura glauca	Allocnemis leucosticta	N	N	N	NA	NA	NA
Odonata	Enallagma anna	Enallagma carunculatum	Y	Y	Y	NA	NA	NA
Odonata	Enallagma anna	Enallagma civile	Y	Y	Y	NA	NA	NA
Odonata	Enallagma aspersum	Enallagma civile	N	N	N	NA	NA	NA
Odonata	Enallagma aspersum	Enallagma geminatum	N	N	N	NA	NA	NA
Odonata	Enallagma basidens	Argia apicalis	N	N	N	NA	NA	NA
Odonata	Enallagma boreale	Enallagma carunculatum	N	N	N	NA	NA	NA
Odonata	Enallagma boreale	Enallagma cyathigerum	N	N	N	NA	NA	NA
Odonata	Enallagma carunculatum	Enallagma basidens	N	N	N	NA	NA	NA
Odonata	Enallagma carunculatum	Enallagma civile	Y	Y	Y	NA	NA	NA
Odonata	Enallagma carunculatum	Ischnura cervula	N	N	N	NA	NA	NA
Odonata	Enallagma carunculatum	Ischnura perparva	N	N	N	NA	NA	NA
Odonata	Enallagma civile	Argia moesta	Y	N	N	NA	NA	NA
Odonata	Enallagma civile	Argia vivida	N	N	N	NA	NA	NA
Odonata	Enallagma cyathigerum	Chalcolestes viridis	N	N	N	NA	NA	NA
Odonata	Enallagma cyathigerum	Enallagma vernale	Y	Y	Y	NA	NA	NA
Odonata	Enallagma cyathigerum	Ischnura denticolis	N	N	N	NA	NA	NA
Odonata	Enallagma cyathigerum	Lestes dryas	N	N	N	NA	NA	NA
Odonata	Enallagma cyathigerum	Telebasis salva	N	N	N	NA	NA	NA
Odonata	Enallagma ebrium	Enallagma boreale	N	N	N	NA	NA	NA
Odonata	Enallagma ebrium	Enallagma hageni	Y	Y	Y	NA	NA	NA
Odonata	Enallagma hageni	Ischnura cervula	N	N	N	NA	NA	NA
Odonata	Enallagma pollutum	Enallagma dubium	N	N	N	NA	NA	NA
Odonata	Enallagma pollutum	Enallagma signatum	N	N	N	NA	NA	NA
Odonata	Enallagma praevarum	Enallagma cyathigerum	N	N	N	NA	NA	NA
Odonata	Epitheca cynosura	Epitheca spinosa	Y	Y	Y	NA	NA	NA
Odonata	Epitheca spinigera	Epitheca cynosura	N	N	N	NA	NA	NA
Odonata	Gomphurus externus	Gomphurus fraternus	Y	Y	Y	NA	NA	NA
Odonata	Gomphus crassus	Gomphurus vastus	N	N	N	NA	NA	NA
