Order	Sp1	Sp2	RI	Gen	Barrier
Odonata	Elattoneura glauca	Allocnemis leucosticta	1	0.185410334346505	Assortative Mating + 
Mechanical Isolation
Odonata	Enallagma anna	Enallagma carunculatum	0	0.0522875816993464	Fertile F1 Hybrids
Odonata	Enallagma anna	Enallagma civile	0	0.0522875816993464	Fertile F1 Hybrids
Odonata	Enallagma aspersum	Enallagma civile	1	0.0076103500761035	Assortative Mating + 
Mechanical Isolation
Odonata	Enallagma aspersum	Enallagma geminatum	1	0.0091324200913242	Assortative Mating + 
Mechanical Isolation
Odonata	Enallagma boreale	Enallagma carunculatum	1	0.0763358778625954	Assortative Mating + 
Mechanical Isolation
Odonata	Enallagma boreale	Enallagma cyathigerum	1	0.027355623100304	Assortative Mating + 
Mechanical Isolation
Odonata	Enallagma carunculatum	Enallagma basidens	1	0.149618320610687	Assortative Mating + 
Mechanical Isolation
Odonata	Enallagma carunculatum	Enallagma civile	0	0.00152671755725191	Fertile F1 Hybrids
Odonata	Enallagma carunculatum	Ischnura cervula	1	0.130637636080871	Assortative Mating + 
Mechanical Isolation
Odonata	Enallagma carunculatum	Ischnura perparva	1	0.164086687306502	Assortative Mating + 
Mechanical Isolation
Odonata	Enallagma civile	Argia moesta	0.8	0.179331306990881	Oviposition
Odonata	Enallagma civile	Argia vivida	1	0.17487684729064	Assortative Mating + 
Mechanical Isolation
Odonata	Enallagma cyathigerum	Chalcolestes viridis	1	0.189171559034573	Assortative Mating + 
Mechanical Isolation
Odonata	Enallagma cyathigerum	Enallagma vernale	0	0.489077669902913	Fertile F1 Hybrids
Odonata	Enallagma cyathigerum	Lestes dryas	1	0.181286549707602	Assortative Mating + 
Mechanical Isolation
Odonata	Enallagma ebrium	Enallagma boreale	1	0.00151975683890578	Assortative Mating + 
Mechanical Isolation
Odonata	Enallagma ebrium	Enallagma hageni	0	0	Fertile F1 Hybrids
Odonata	Enallagma hageni	Ischnura cervula	1	0.122291021671827	Assortative Mating + 
Mechanical Isolation
Odonata	Enallagma pollutum	Enallagma dubium	1	0.0357142857142857	Assortative Mating + 
Mechanical Isolation
Odonata	Enallagma pollutum	Enallagma signatum	1	0.507621951219512	Assortative Mating + 
Mechanical Isolation
Odonata	Enallagma praevarum	Enallagma cyathigerum	1	0.470517448856799	Assortative Mating + 
Mechanical Isolation
Odonata	Epitheca spinigera	Epitheca cynosura	1	0.0121580547112462	Assortative Mating + 
Mechanical Isolation
Odonata	Gomphurus externus	Gomphurus fraternus	0	0.00759878419452888	Fertile F1 Hybrids
Odonata	Gomphus crassus	Gomphurus vastus	1	0.0060790273556231	Assortative Mating + 
Mechanical Isolation
Odonata	Gomphus crassus	Ophiogomphus rupinsulensis	1	0.145896656534954	Assortative Mating + 
Mechanical Isolation
Odonata	Gomphus fraternus	Gomphus externus	0	0.00759878419452888	Fertile F1 Hybrids
Odonata	Gomphus simillimus	Gomphus vulgatissimus	0.8	0.0654490106544901	Oviposition
