Order	Sp1	Sp2	Assortative_Mating	Oviposition	Hybrid_Inviability	Haldanes_Rule	Fertile_F1_Hybrids	RI	Barrier
Odonata	Calopteryx splendens	Platycnemis pennipes	N	N	N	NA	NA	1	Assortative Mating
Odonata	Calopteryx virgo	Pyrrhosoma nymphula	N	N	N	NA	NA	1	Assortative Mating
Odonata	Chalcolestes parvidens	Chalcolestes viridis	N	N	N	NA	NA	1	Assortative Mating
Odonata	Chalcolestes viridis	Erythromma viridulum	N	N	N	NA	NA	1	Assortative Mating
Odonata	Chalcolestes viridis	Lestes dryas	N	N	N	NA	NA	1	Assortative Mating
Odonata	Chalcolestes viridis	Lestes virens	N	N	N	NA	NA	1	Assortative Mating
Odonata	Chalcolestes viridis	Sympecma fusca	N	N	N	NA	NA	1	Assortative Mating
Odonata	Coenagrion ornatum	Platycnemis pennipes	N	N	N	NA	NA	1	Assortative Mating
Odonata	Coenagrion puella	Coenagrion pulchellum	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Coenagrion puella	Enallagma cyathigerum	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Coenagrion splendens	Coenagrion pulchellum	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Coenagrion viridis	Coenagrion parvidens	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Copera marginipes	Ceriagrion cerinorubellum	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Cordulegaster bilineata	Cordulegaster diastatops	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Cordulegaster boltonii	Somatochlora metallica	N	N	N	NA	NA	1	Assortative Mating
Odonata	Cordulia aenea	Epitheca bimaculata	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Cordulia aenea	Somatochlora flavomaculata	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Cordulia shurtleffii	Leucorrhinia glaciallis	N	N	N	NA	NA	1	Assortative Mating
Odonata	Crocothemis erythraea	Trithemis annulata	N	N	N	NA	NA	1	Assortative Mating
Odonata	Davidius moiwanus	Gomphus chichibui	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Deielia phaon	Orthetrum albistylum	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Diplacodes lefebvrii	Trithemis arteriosa	N	N	N	NA	NA	1	Assortative Mating
Odonata	Dorocordulia libera	Epitheca canis	N	N	N	NA	NA	1	Assortative Mating
Odonata	Dromogomphus spinosus	Stylurus plagiatus	N	N	N	NA	NA	1	Assortative Mating
Odonata	Dythemis multipunctata	Dythemis sterilis	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Elattoneura glauca	Allocnemis leucosticta	N	N	N	NA	NA	1	Assortative Mating
Odonata	Enallagma anna	Enallagma carunculatum	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Enallagma anna	Enallagma civile	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Enallagma aspersum	Enallagma civile	N	N	N	NA	NA	1	Assortative Mating
Odonata	Enallagma aspersum	Enallagma geminatum	N	N	N	NA	NA	1	Assortative Mating
Odonata	Enallagma basidens	Argia apicalis	N	N	N	NA	NA	1	Assortative Mating
Odonata	Enallagma boreale	Enallagma carunculatum	N	N	N	NA	NA	1	Assortative Mating
Odonata	Enallagma boreale	Enallagma cyathigerum	N	N	N	NA	NA	1	Assortative Mating
Odonata	Enallagma carunculatum	Enallagma basidens	N	N	N	NA	NA	1	Assortative Mating
Odonata	Enallagma carunculatum	Enallagma civile	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Enallagma carunculatum	Ischnura cervula	N	N	N	NA	NA	1	Assortative Mating
Odonata	Enallagma carunculatum	Ischnura perparva	N	N	N	NA	NA	1	Assortative Mating
Odonata	Enallagma civile	Argia moesta	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Enallagma civile	Argia vivida	N	N	N	NA	NA	1	Assortative Mating
Odonata	Enallagma cyathigerum	Chalcolestes viridis	N	N	N	NA	NA	1	Assortative Mating
Odonata	Enallagma cyathigerum	Enallagma vernale	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Enallagma cyathigerum	Ischnura denticolis	N	N	N	NA	NA	1	Assortative Mating
Odonata	Enallagma cyathigerum	Lestes dryas	N	N	N	NA	NA	1	Assortative Mating
Odonata	Enallagma cyathigerum	Telebasis salva	N	N	N	NA	NA	1	Assortative Mating
Odonata	Enallagma ebrium	Enallagma boreale	N	N	N	NA	NA	1	Assortative Mating
Odonata	Enallagma ebrium	Enallagma hageni	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Enallagma hageni	Ischnura cervula	N	N	N	NA	NA	1	Assortative Mating
Odonata	Enallagma pollutum	Enallagma dubium	N	N	N	NA	NA	1	Assortative Mating
Odonata	Enallagma pollutum	Enallagma signatum	N	N	N	NA	NA	1	Assortative Mating
Odonata	Enallagma praevarum	Enallagma cyathigerum	N	N	N	NA	NA	1	Assortative Mating
Odonata	Epitheca cynosura	Epitheca spinosa	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Epitheca spinigera	Epitheca cynosura	N	N	N	NA	NA	1	Assortative Mating
Odonata	Gomphurus externus	Gomphurus fraternus	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Gomphus crassus	Gomphurus vastus	N	N	N	NA	NA	1	Assortative Mating
Odonata	Gomphus crassus	Ophiogomphus rupinsulensis	N	N	N	NA	NA	1	Assortative Mating
Odonata	Gomphus fraternus	Gomphus externus	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Gomphus simillimus	Gomphus vulgatissimus	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Hetaerina americana	Argia plana	N	N	N	NA	NA	1	Assortative Mating
Odonata	Hetaerina americana	Calopteryx maculata	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Indolestes peregrinus	Cercion hieroglyhicum	N	N	N	NA	NA	1	Assortative Mating
Odonata	Ischnura aurora	Xanthocnemis zealandica	N	N	N	NA	NA	1	Assortative Mating
Odonata	Ischnura barberi	Ischnura ramburii	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Ischnura capreolus	Ischnura cyane	N	N	N	NA	NA	1	Assortative Mating
Odonata	Ischnura demorsa	Ischnura damula	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Ischnura denticollis	Ischnura gemina	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Ischnura elegans	Calopteryx splendens	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Ischnura elegans	Chalcolestes viridis	N	N	N	NA	NA	1	Assortative Mating
Odonata	Ischnura elegans	Coenagrion puella	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Ischnura elegans	Coenagrion pulchellum	N	N	N	NA	NA	1	Assortative Mating
Odonata	Ischnura elegans	Enallagma cyathigerum	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Ischnura elegans	Erythromma lindenii	N	N	N	NA	NA	1	Assortative Mating
Odonata	Ischnura elegans	Erythromma najas	N	N	N	NA	NA	1	Assortative Mating
Odonata	Ischnura elegans	Ischnura fountaineae	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Ischnura elegans	Ischnura graellsii	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Ischnura elegans	Ischnura saharensis	Y	Y	Y	NA	NA	0	Fertile F1 Hybrids
Odonata	Ischnura elegans	Lestes sponsa	N	N	N	NA	NA	1	Assortative Mating
