Order	Family	Sp1	Sp2	Condition	Reference
Lepidoptera	Geometridae	Lycia hirtaria	Lycia lapponaria	Laboratory	Presgraves, DC, 2002
Lepidoptera	Geometridae	Lycia hirtaria	Nyssia graecaria	Laboratory	Presgraves, DC, 2002
Lepidoptera	Geometridae	Lycia hirtaria 	Lycia isabellae	Laboratory	Presgraves, DC, 2002
Lepidoptera	Geometridae	Lycia hirtaria 	Lycia pomonaria	Laboratory	Presgraves, DC, 2002
Lepidoptera	Geometridae	Lycia hirtaria 	Lycia zonaria	Laboratory	Presgraves, DC, 2002
Lepidoptera	Geometridae	Lycia isabellae	Lycia lapponaria	Laboratory	Presgraves, DC, 2002
Lepidoptera	Geometridae	Lycia isabellae	Lycia pomonaria	Laboratory	Presgraves, DC, 2002
Lepidoptera	Geometridae	Lycia lapponaria	Lycia pomonaria	Laboratory	Presgraves, DC, 2002
Lepidoptera	Geometridae	Lycia zonaria	Lycia isabellae	Laboratory	Presgraves, DC, 2002
Lepidoptera	Geometridae	Lycia zonaria	Lycia lapponaria	Laboratory	Presgraves, DC, 2002
Lepidoptera	Geometridae	Lycia zonaria	Lycia pomonaria	Laboratory	Presgraves, DC, 2002
Lepidoptera	Geometridae	Lycia zonaria	Poecilopsis rachelae	Laboratory	Presgraves, DC, 2002
Lepidoptera	Geometridae	Operophtera bruceata	Operophtera brumata	Field	TROUBRIDGE, JT; FITZPATRICK, SM, 1993
Lepidoptera	Geometridae	Selenia bilunaria	Selenia tetralunaria	Laboratory	Presgraves, DC, 2002
Lepidoptera	Geometridae	Thera obeliscata	Thera variata	Laboratory	Presgraves, DC, 2002
Lepidoptera	Geometridae	Timandra comae	Timandra griseata	Field	Ounap, E; Viidalepp, J; Saarma, U, 2005
Lepidoptera	Hesperiidae	Pelopidas agna	Pelopidas mathias	Field	Goonesekera, K; Lee, PLM; Van der Poorten, G; Ranawaka, G, 2021
Lepidoptera	Hesperiidae	Pyrgus malvae	Pyrgus malvoides	Field	Hernandez-Roldan, JL; Bofill, R; Dapporto, L; Munguira, ML; Vila, R, 2014
Lepidoptera	Lasiocampidae	Malacosoma castrensis	Malacosoma neustria	Laboratory	Presgraves, DC, 2002
Lepidoptera	Lasiocampidae	Malacosoma franconica	Malacosoma neustria	Laboratory	Presgraves, DC, 2002
Lepidoptera	Lasiocampidae	Phyllodesma ilicifolia	Phyllodesma tremulifolia	Laboratory	Presgraves, DC, 2002
Lepidoptera	Lycaenidae	Ahlbergia frivaldszkyi	Callophrys rubi	Field	Shapoval; Yakovlev, RV; Kuftina, GN; Lukhtanov, VA; Knyazev, SA; Romanovich, AE; Krupitsky, AV. 2021, 2021
Lepidoptera	Lycaenidae	Aricia agestis	Aricia artaxerxes	Field	Aagaard, K; Hindar, K; Pullin, AS; James, CH; Hammarstedt, O; Balstad, T; Hanssen, O, 2002
Lepidoptera	Lycaenidae	Aricia agestis	Polyommatus artaxerxes	Field	Mallet, J; Wynne, IR; Thomas, CD, 2011
Lepidoptera	Lycaenidae	Plebejus idas	Plebejus melissa	Field	Gompert, Z; Lucas, LK; Fordyce, JA; Forister, ML; Nice, CC, 2010
Lepidoptera	Lycaenidae	Pseudophilotes baton	Pseudophilotes vicrama	Field	Bartonova, AS; Konvicka, M; Maresova, J; Wiemers, M; Ignatev, N; Wahlberg, N; Schmitt, T; Fric, ZF, 2021
Lepidoptera	Lycaenidae	Zizina emelina	Zizina otis	Laboratory	Sakamoto, Y; Yago, M, 2017
Lepidoptera	Lycaenidae	Zizina labradus	Zizina oxleyi	Field	Gillespie, M; Wratten, SD; Cruickshank, R; Wiseman, BH; Gibbs, GW, 2013
Lepidoptera	Noctuidae	Agrotis ipsilon	Agrotis segetum	Laboratory	Gadenne, C; Picimbon, JF; Becard, JM; LalanneCassou, B; Renou, M, 1997
Lepidoptera	Noctuidae	Chloridea subflexa	Chloridea virescens	Laboratory	GOODPASTURE, C; LACHANCE, LE; RICHARD, RD, 1980
Lepidoptera	Noctuidae	Euxoa declarata	Euxoa rockburnei	Laboratory	TEAL, PEA, 1985
Lepidoptera	Noctuidae	Helicoverpa armigera	Helicoverpa assulta	Laboratory	Wang, CZ; Dong, JF, 2001
Lepidoptera	Noctuidae	Helicoverpa armigera	Helicoverpa zea	Laboratory	LASTER, ML; SHENG, CF, 1995
Lepidoptera	Noctuidae	Hydraecia immanis	Hydraecia micacea	Field	SCRIBER, JM; BOSSART, JL; SNIDER, D, 1992
Lepidoptera	Noctuidae	Spodoptera descoinsi	Spodoptera latifascia	Laboratory	Monti, L; Genermont, J; Malosse, C; LalanneCassou, B, 1997
Lepidoptera	Noctuidae	Spodoptera littoralis	Spodoptera litura	Laboratory	Saveer, AM; Becher, PG; Birgersson, G; Hansson, BS; Witzgall, P; Bengtsson, M, 2014
Lepidoptera	Notodontidae	Cerura erminea	Cerura vinula	Laboratory	Presgraves, DC, 2002
Lepidoptera	Notodontidae	Clostera anachoreta	Clostera curtula	Laboratory	Presgraves, DC, 2002
