Order	Sp1	Sp2	Distance
Lepidoptera	Colias alexandra	Colias eurytheme	0.0182370820668693
Lepidoptera	Colias alfacariensis	Colias hyale	0.0210526315789474
Lepidoptera	Colias crocea	Colias erate	0.0015220700152207
Lepidoptera	Colias crocea	Colias hyale	0.0531914893617021
Lepidoptera	Colias erate	Colias eurytheme	0.0328542094455852
Lepidoptera	Colias eurytheme	Colias interior	0.00578034682080925
Lepidoptera	Colias eurytheme	Colias philodice	0
Lepidoptera	Colias interior	Colias philodice	0.00578034682080925
Lepidoptera	Danaus erippus	Danaus plexippus	0.0353982300884956
Lepidoptera	Deilephila elpenor	Deilephila porcellus	0.0509857239972808
Lepidoptera	Drepana curvatula	Drepana falcataria	0.0454545454545455
Lepidoptera	Enantia albania	Enantia jethys	0.0349544072948328
Lepidoptera	Enantia albania	Enantia mazai	0.060790273556231
Lepidoptera	Epirrita autumnata	Epirrita dilutata	0.0648210668467252
Lepidoptera	Epirrita autumnata	Epirrita filigrammaria	0.0213089802130898
Lepidoptera	Epirrita dilutata	Epirrita filigrammaria	0.0715372907153729
Lepidoptera	Erebia calcarius	Erebia cassioides	0
Lepidoptera	Erebia calcarius	Erebia tyndarus	0.00151975683890578
Lepidoptera	Erebia cassioides	Erebia nivalis	0
Lepidoptera	Erebia cassioides	Erebia tyndarus	0.00753941055517478
Lepidoptera	Erebia epiphron	Erebia pronoe	0.05453306066803
Lepidoptera	Euxoa declarata	Euxoa rockburnei	0.0151975683890578
Lepidoptera	Gnathothlibus eras	Philodila astyanor	0.0531914893617021
Lepidoptera	Heliconius charithonia	Heliconius peruvianus	0.0709413369713506
Lepidoptera	Heliconius cydno	Heliconius heurippa	0.00790513833992095
Lepidoptera	Heliconius cydno	Heliconius ismenius	0.0542483660130719
Lepidoptera	Heliconius cydno	Heliconius melpomene	0.0247879973907371
Lepidoptera	Heliconius cydno	Heliconius pachinus	0.0143603133159269
Lepidoptera	Heliconius erato	Heliconius himera	0.0401633764465623
Lepidoptera	Heliconius heurippa	Heliconius melpomene	0.0276679841897233
Lepidoptera	Heliconius heurippa	Heliconius tristero	0.00501002004008016
Lepidoptera	Heliconius melpomene	Heliconius pachinus	0.0241514360313316
Lepidoptera	Heliconius melpomene	Heliconius timareta	0.0243741765480896
Lepidoptera	Helicoverpa armigera	Helicoverpa assulta	0.0552665799739922
Lepidoptera	Helicoverpa armigera	Helicoverpa zea	0.0315167432698621
