Order	Suborder	Family	Sp1	Sp2	Distance
Lepidoptera	"Moth"	Notodontidae	Clostera anachoreta	Average	0.0653495440729483
Lepidoptera	"Moth"	Notodontidae	Clostera pigra	Average	0.0653495440729483
Lepidoptera	"Moth"	Notodontidae	Thaumetopoea wilkinsoni	Thaumetopoea pityocampa	0.0824742268041237
Lepidoptera	"Butterfly"	Nymphalidae	Anartia fatima	Anartia amathea	0.026602176541717
Lepidoptera	"Butterfly"	Nymphalidae	Coenonympha gardetta	Coenonympha arcania	0.00994318181818182
Lepidoptera	"Butterfly"	Nymphalidae	Danaus plexippus	Danaus erippus	0.0353982300884956
Lepidoptera	"Butterfly"	Nymphalidae	Erebia calcarius	Average	0.000759878419452888
Lepidoptera	"Butterfly"	Nymphalidae	Erebia cassioides	Average	0.00376970527758739
Lepidoptera	"Butterfly"	Nymphalidae	Erebia pronoe	Erebia epiphron	0.05453306066803
Lepidoptera	"Butterfly"	Nymphalidae	Heliconius cydno	Average	0.0253254537649142
Lepidoptera	"Butterfly"	Nymphalidae	Heliconius heurippa	Average	0.0163390021149017
Lepidoptera	"Butterfly"	Nymphalidae	Heliconius himera	Heliconius erato	0.0401633764465623
Lepidoptera	"Butterfly"	Nymphalidae	Heliconius melpomene	Average	0.0242628062897106
Lepidoptera	"Butterfly"	Nymphalidae	Heliconius peruvianus	Heliconius charithonia	0.0709413369713506
Lepidoptera	"Butterfly"	Nymphalidae	Junonia zonalis	Junonia coenia	0.0349544072948328
Lepidoptera	"Butterfly"	Nymphalidae	Limenitis archippus	Average	0.0324103488426869
Lepidoptera	"Butterfly"	Nymphalidae	Maniola nurag	Average	0.0147275405007364
Lepidoptera	"Butterfly"	Nymphalidae	Melitaea acentria	Melitaea acentria	0
Lepidoptera	"Butterfly"	Nymphalidae	Melitaea phoebe	Melitaea ornata	0.0226337448559671
Lepidoptera	"Butterfly"	Nymphalidae	Phyciodes tharos	Average	0.016414058119207
Lepidoptera	"Butterfly"	Papilionidae	Iphiclides podalirius	Iphiclides feisthamelii	0.00140252454417952
Lepidoptera	"Butterfly"	Papilionidae	Papilio aegeus	Average	0.0722092697012809
Lepidoptera	"Butterfly"	Papilionidae	Papilio bianor	Average	0.0476831022017052
Lepidoptera	"Butterfly"	Papilionidae	Papilio brevicauda	Average	0.0281324033365288
Lepidoptera	"Butterfly"	Papilionidae	Papilio constantinus	Average	0.0684317930271168
Lepidoptera	"Butterfly"	Papilionidae	Papilio demoleus	Average	0.0697197656198227
Lepidoptera	"Butterfly"	Papilionidae	Papilio eurymedon	Average	0.0238095238095238
Lepidoptera	"Butterfly"	Papilionidae	Papilio fuscus	Average	0.0729483282674772
Lepidoptera	"Butterfly"	Papilionidae	Papilio glaucus	Average	0.0229622075761349
Lepidoptera	"Butterfly"	Papilionidae	Papilio helenus	Average	0.0750391236798676
Lepidoptera	"Butterfly"	Papilionidae	Papilio maackii	Average	0.0659583211035293
Lepidoptera	"Butterfly"	Papilionidae	Papilio machaon	Average	0.0517321096952445
Lepidoptera	"Butterfly"	Papilionidae	Papilio macilentus	Average	0.0730250566724888
Lepidoptera	"Butterfly"	Papilionidae	Papilio memnon	Average	0.0535199654770834
Lepidoptera	"Butterfly"	Papilionidae	Papilio phorcas	Papilio dardanus	0.0766550522648084
Lepidoptera	"Butterfly"	Papilionidae	Papilio polytes	Average	0.0516433295289469
Lepidoptera	"Butterfly"	Papilionidae	Papilio polyxenes	Average	0.0453457554014834
Lepidoptera	"Butterfly"	Papilionidae	Papilio rumanzovia	Papilio polymnestor	0.0415430267062315
Lepidoptera	"Butterfly"	Papilionidae	Papilio rutulus	Papilio multicaudatus	0.0305188199389624
Lepidoptera	"Butterfly"	Papilionidae	Papilio scamander	Papilio palamedes	0.0690423162583519
Lepidoptera	"Butterfly"	Papilionidae	Papilio xuthus	Average	0.0863432545806344
Lepidoptera	"Butterfly"	Papilionidae	Parnassius nomion	Parnassius bremeri	0.0449438202247191
Lepidoptera	"Butterfly"	Papilionidae	Parnassius phoebus	Parnassius apollo	0.0211920529801325
Lepidoptera	"Butterfly"	Pieridae	Anthocharis cardamines	Average	0.0724417426545086
Lepidoptera	"Butterfly"	Pieridae	Colias crocea	Average	0.0273567796884614
