Order	Suborder	Family	Cross	Condition	Distance
Lepidoptera	"Butterfly"	Nymphalidae	Coenonympha_arcania_X_Coenonympha_gardetta	Field	0.00994318181818182
Lepidoptera	"Butterfly"	Pieridae	Colias_alexandra_X_Colias_eurytheme	Laboratory	0.0182370820668693
Lepidoptera	"Butterfly"	Pieridae	Colias_alfacariensis_X_Colias_hyale	Laboratory	0.0208023774145617
Lepidoptera	"Butterfly"	Pieridae	Colias_crocea_X_Colias_erate	Field	0.0015220700152207
Lepidoptera	"Butterfly"	Pieridae	Colias_crocea_X_Colias_hyale	Field	0.0531914893617021
Lepidoptera	"Butterfly"	Pieridae	Colias_erate_X_Colias_eurytheme	Laboratory	0.0328542094455852
Lepidoptera	"Butterfly"	Pieridae	Colias_eurytheme_X_Colias_interior	Field	0.00578034682080925
Lepidoptera	"Butterfly"	Pieridae	Colias_eurytheme_X_Colias_philodice	Field	0
Lepidoptera	"Butterfly"	Pieridae	Colias_interior_X_Colias_philodice	Laboratory	0.00578034682080925
Lepidoptera	"Butterfly"	Nymphalidae	Danaus_erippus_X_Danaus_plexippus	Laboratory	0.0353982300884956
Lepidoptera	"Moth"	Sphingidae	Deilephila_elpenor_X_Deilephila_porcellus	Field	0.0509857239972808
Lepidoptera	"Moth"	Drepanidae	Drepana_curvatula_X_Drepana_falcataria	Laboratory	0.0454545454545455
Lepidoptera	"Moth"	Geometridae	Epirrita_autumnata_X_Epirrita_dilutata	Laboratory	0.0655405405405405
Lepidoptera	"Moth"	Geometridae	Epirrita_autumnata_X_Epirrita_filigrammaria	Laboratory	0.0213089802130898
Lepidoptera	"Moth"	Geometridae	Epirrita_dilutata_X_Epirrita_filigrammaria	Laboratory	0.0715372907153729
Lepidoptera	"Butterfly"	Nymphalidae	Erebia_calcarius_X_Erebia_cassioides	Laboratory	0
Lepidoptera	"Butterfly"	Nymphalidae	Erebia_calcarius_X_Erebia_tyndarus	Laboratory	0.00151975683890578
Lepidoptera	"Butterfly"	Nymphalidae	Erebia_cassioides_X_Erebia_nivalis	Laboratory	0
Lepidoptera	"Butterfly"	Nymphalidae	Erebia_cassioides_X_Erebia_tyndarus	Laboratory	0.00753941055517478
Lepidoptera	"Butterfly"	Nymphalidae	Erebia_epiphron_X_Erebia_pronoe	Field	0.05453306066803
Lepidoptera	"Moth"	Noctuidae	Euxoa_declarata_X_Euxoa_rockburnei	Laboratory	0.0151975683890578
Lepidoptera	"Butterfly"	Nymphalidae	Heliconius_charithonia_X_Heliconius_peruvianus	Field	0.0709413369713506
Lepidoptera	"Butterfly"	Nymphalidae	Heliconius_cydno_X_Heliconius_heurippa	Laboratory	0.00790513833992095
Lepidoptera	"Butterfly"	Nymphalidae	Heliconius_cydno_X_Heliconius_ismenius	Laboratory	0.0542483660130719
Lepidoptera	"Butterfly"	Nymphalidae	Heliconius_cydno_X_Heliconius_melpomene	Field	0.0247879973907371
Lepidoptera	"Butterfly"	Nymphalidae	Heliconius_cydno_X_Heliconius_pachinus	Field	0.0143603133159269
Lepidoptera	"Butterfly"	Nymphalidae	Heliconius_erato_X_Heliconius_himera	Field	0.0401633764465623
Lepidoptera	"Butterfly"	Nymphalidae	Heliconius_heurippa_X_Heliconius_melpomene	Laboratory	0.0276679841897233
Lepidoptera	"Butterfly"	Nymphalidae	Heliconius_heurippa_X_Heliconius_tristero	Field	0.00501002004008016
Lepidoptera	"Butterfly"	Nymphalidae	Heliconius_melpomene_X_Heliconius_pachinus	Field	0.0241514360313316
Lepidoptera	"Butterfly"	Nymphalidae	Heliconius_melpomene_X_Heliconius_timareta	Field	0.0243741765480896
Lepidoptera	"Moth"	Noctuidae	Helicoverpa_armigera_X_Helicoverpa_assulta	Laboratory	0.0552665799739922
Lepidoptera	"Moth"	Noctuidae	Helicoverpa_armigera_X_Helicoverpa_zea	Laboratory	0.0315167432698621
Lepidoptera	"Moth"	Saturniidae	Hyalophora_cecropia_X_Hyalophora_columbia	Field	0.0121396054628225
Lepidoptera	"Moth"	Saturniidae	Hyalophora_cecropia_X_Hyalophora_euryalus	Field	0.013677811550152
Lepidoptera	"Moth"	Saturniidae	Hyalophora_cecropia_X_Hyalophora_gloveri	Field	0.0121580547112462
Lepidoptera	"Moth"	Saturniidae	Hyalophora_columbia_X_Hyalophora_euryalus	Field	0.0166919575113809
Lepidoptera	"Moth"	Saturniidae	Hyalophora_euryalus_X_Hyalophora_gloveri	Field	0.0167173252279635
Lepidoptera	"Moth"	Noctuidae	Hydraecia_immanis_X_Hydraecia_micacea	Field	0.0592705167173252
Lepidoptera	"Moth"	Sphingidae	Hyles_chamyla_X_Hyles_hippophaes	Field	0.0214521452145215
Lepidoptera	"Moth"	Sphingidae	Hyles_dahlii_X_Hyles_gallii	Laboratory	0.0267449445531637
Lepidoptera	"Moth"	Sphingidae	Hyles_euphorbiae_X_Deilephila_elpenor	Laboratory	0.0669291338582677
Lepidoptera	"Moth"	Sphingidae	Hyles_euphorbiae_X_Deilephila_porcellus	Laboratory	0.070700203942896
Lepidoptera	"Moth"	Sphingidae	Hyles_euphorbiae_X_Hyles_gallii	Laboratory	0.0261267145656434
Lepidoptera	"Moth"	Sphingidae	Hyles_euphorbiae_X_Hyles_hippophaes	Laboratory	0.0229809586342745
Lepidoptera	"Moth"	Sphingidae	Hyles_euphorbiae_X_Hyles_lineata	Laboratory	0.052317880794702
Lepidoptera	"Moth"	Sphingidae	Hyles_euphorbiae_X_Hyles_vespertilio	Laboratory	0.0183006535947712
Lepidoptera	"Moth"	Sphingidae	Hyles_gallii_X_Deilephila_elpenor	Laboratory	0.0681520314547838
Lepidoptera	"Moth"	Sphingidae	Hyles_gallii_X_Deilephila_porcellus	Laboratory	0.0712830957230143
Lepidoptera	"Moth"	Sphingidae	Hyles_gallii_X_Hyles_hippophaes	Laboratory	0.0334426229508197
Lepidoptera	"Moth"	Sphingidae	Hyles_gallii_X_Hyles_lineata	Laboratory	0.0509259259259259
Lepidoptera	"Moth"	Sphingidae	Hyles_gallii_X_Hyles_livornica	Laboratory	0.031331592689295
Lepidoptera	"Moth"	Sphingidae	Hyles_gallii_X_Hyles_vespertilio	Laboratory	0.0293733681462141
Lepidoptera	"Moth"	Sphingidae	Hyles_hippophaes_X_Deilephila_elpenor	Laboratory	0.0743910467412772
Lepidoptera	"Moth"	Sphingidae	Hyles_hippophaes_X_Hyles_lineata	Laboratory	0.0605053191489362
Lepidoptera	"Moth"	Sphingidae	Hyles_hippophaes_X_Hyles_vespertilio	Laboratory	0.0328083989501312
Lepidoptera	"Moth"	Sphingidae	Hyles_vespertilio_X_Deilephila_elpenor	Laboratory	0.0701639344262295
Lepidoptera	"Butterfly"	Papilionidae	Iphiclides_feisthamelii_X_Iphiclides_podalirius	Field	0.00140252454417952
Lepidoptera	"Moth"	Sphingidae	Laothoe_austauti_X_Smerinthus_ocellata	Laboratory	0.089041095890411
Lepidoptera	"Moth"	Sphingidae	Laothoe_populi_X_Smerinthus_ocellata	Field	0.0866261398176292
Lepidoptera	"Butterfly"	Pieridae	Leptidea_reali_X_Leptidea_sinapis	Field	0.0115440115440115
Lepidoptera	"Butterfly"	Nymphalidae	Limenitis_archippus_X_Limenitis_arthemis	Field	0.030718954248366
Lepidoptera	"Butterfly"	Nymphalidae	Limenitis_archippus_X_Limenitis_lorquini	Field	0.0332005312084993
Lepidoptera	"Butterfly"	Nymphalidae	Limenitis_archippus_X_Limenitis_weidemeyerii	Field	0.0333115610711953
Lepidoptera	"Moth"	Geometridae	Lycia_hirtaria_X_Lycia_lapponaria	Laboratory	0.0298953662182362
Lepidoptera	"Moth"	Geometridae	Lycia_isabellae_X_Lycia_lapponaria	Laboratory	0.0196560196560197
Lepidoptera	"Moth"	Geometridae	Lycia_isabellae_X_Lycia_pomonaria	Laboratory	0.00982800982800983
Lepidoptera	"Moth"	Geometridae	Lycia_lapponaria_X_Lycia_pomonaria	Laboratory	0.0119402985074627
