Order	Suborder	Family	Sp1	Sp2	Condition	MainTopic	Authors	Year	Article
Lepidoptera	"Butterfly"	Papilionidae	Papilio helenus	Papilio protenor	Field	Yes	SPERLING, FAH.	1990	NATURAL HYBRIDS OF PAPILIO (INSECTA, LEPIDOPTERA) - POOR TAXONOMY OR INTERESTING EVOLUTIONARY PROBLEM
Lepidoptera	"Butterfly"	Papilionidae	Papilio helenus	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio hipponous	Papilio polytes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio hospiton	Papilio machaon	Field	Yes	Aubert, J; Barascud, B; Descimon, H; Michel, F.	1997	Ecology and genetics of interspecific hybridization in the swallowtails, Papilio hospiton Gene and P-machaon L, in Corsica (Lepidoptera: Papilionidae)
Lepidoptera	"Butterfly"	Papilionidae	Papilio maackii	Papilio polyctor	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio maackii	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio machaon	Papilio maackii	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio machaon	Papilio macilentus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio machaon	Papilio polytes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio machaon	Papilio polyxenes	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio machaon	Papilio protenor	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio machaon	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio machaon	Papilio zelicaon	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio macilentus	Papilio memnon	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio macilentus	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio memnon	Papilio polymnestor	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio memnon	Papilio polytes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio memnon	Papilio rumanzovia	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio memnon	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio multicaudatus	Papilio rutulus	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio nephelus	Papilio polytes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio palamedes	Papilio scamander	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio paris	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
