Sp1	Sp2	Condition	Choice-Mating	Hybrid-Egg	Hybrid-Adult	One-Sex-Fertile-Hybrids	Fertile-Hybrids	Authors	Year
Sepsis pyrrhosoma	Sepsis flavimana	Laboratory	N	Y	Y	N	N	Tan, DSH; Ang, Y; Lim, GS; Bin Ismail, MR; Meier, R.	2010
Sepsis neocynipsea	Sepsis cynipsea	Laboratory	Y	Y	Y	Y	N	Giesen, A; Blanckenhorn, WU; Schafer, MA.	2017
Bactrocera tryoni	Bactrocera neohumeralis	Laboratory	Y	Y	Y	Y	Y	Pike, N; Meats, A.	2002
Urophora affinis	Urophora quadrifasciata	Laboratory	N	N	N	N	N	BERUBE, DE; MYERS, JH.	1983
Rhagoletis conversa	Rhagoletis brncici	Laboratory	N	N	N	N	N	Frias-Lasserre, D.	2015
Drosophila lini	Drosophila ogumai	Laboratory	Y	Y	Y	Y	N	Zannat, MT; Toda, MJ.	2002
Drosophila lini	Drosophila ogumai	Laboratory	Y	Y	Y	Y	N	Zannat, MT; Toda, MJ.	2002
Drosophila ogumai	Drosophila ohnishii	Laboratory	Y	Y	Y	Y	N	Zannat, MT; Toda, MJ.	2002
Chironomus riparius	Chironomus piger	Laboratory	Y	Y	Y	Y	Y	Foucault, Q; Wieser, A; Heumann-Kiesler, C; Diogo, J; Cocchiararo, B; Nowak, C; Waldvogel, AM; Pfenninger, M.	2019
Anastrepha fraterculus	Anastrepha obliqua	Laboratory	Y	Y	Y	?	?	Rull, J; Tadeo, E; Lasa, R; Rodriguez, CL; Altuzar-Molina, A; Aluja, M.	2018
Rhagoletis indifferens	Rhagoletis suavis	Laboratory	N	?	?	?	?	Hood, GR; Egan, SP; Feder, JL.	2012
Rhagoletis berberis	Rhagoletis suavis	Laboratory	N	?	?	?	?	Hood, GR; Egan, SP; Feder, JL.	2012
Rhagoletis indifferens	Rhagoletis pomonella	Laboratory	N	?	?	?	?	Hood, GR; Egan, SP; Feder, JL.	2012
Rhagoletis pomonella	Rhagoletis suavis	Laboratory	N	?	?	?	?	Hood, GR; Egan, SP; Feder, JL.	2012
Zonosemata electa	Rhagoletis pomonella	Laboratory	N	?	?	?	?	Hood, GR; Egan, SP; Feder, JL.	2012
Rhagoletis pomonella	Rhagoletis basiola	Laboratory	N	?	?	?	?	Hood, GR; Egan, SP; Feder, JL.	2012
Rhagoletis indifferens	Rhagoletis basiola	Laboratory	N	?	?	?	?	Hood, GR; Egan, SP; Feder, JL.	2012
Rhagoletis indifferens	Rhagoletis cingulata	Laboratory	Y	?	?	?	?	Hood, GR; Egan, SP; Feder, JL.	2012
Rhagoletis mendax	Rhagoletis zephyria	Laboratory	Y	Y	Y	Y	Y	Virgilio, M; Delatte, H; Quilici, S; Backeljau, T; De Meyer, M.	2007
Telostylinus lineolatus	Telostylinus angusticollis	Laboratory	Y	Y	N	N	N	Bath, E; Tatarnic, N; Bonduriansky, R.	2012
Anopheles sinensis	Anopheles pullus	Laboratory	?	Y	Y	N	N	Kim, SJ; Choochote, W; Jitpakdi, A; Junkum, A; Ahn, DA; Baek, JA; Park, MH; Kim, MS; Chung, KW; Min, GS.	2005
Drosophila virilis	Drosophila novamexicana	Laboratory	?	Y	Y	Y	?	Nickel, D; Civetta, A.	2009
Drosophila virilis	Drosophila americana	Laboratory	?	Y	Y	Y	?	Nickel, D; Civetta, A.	2009
Drosophila novamexicana	Drosophila americana	Laboratory	?	Y	?	?	?	Nickel, D; Civetta, A.	2009
Anopheles gambiae	Anopheles coluzzii	Field	Y	Y	Y	Y	Y	Caputo, B; Tondossoma, N; Virgillito, C; Pichler, V; Serini, P; Calzetta, M; Manica, M; Coulibaly, ZI; Dia, I; Akr, M; Offianan, A; della Torre, A.	2022
Rhagoletis completa	Rhagoletis zoqui	Laboratory	Y	Y	Y	Y	Y	Rull, J; Tadeo, E; Aluja, M; Guillen, L; Egan, SP; Feder, JL.	2012
Aedes aegypti	Aedes albopictu	Laboratory	N	Y	N	N	N	HARPER, JP; PAULSON, SL.	1994
Drosophila parapallidosa	Drosophila pallidosa	Laboratory	?	Y	Y	Y	Y	Matsuda, M; Ng, CS; Doi, M; Kopp, A; Tobari, YN.	2009
Drosophila parapallidosa	Drosophila ananassae	Laboratory	?	Y	Y	Y	Y	Matsuda, M; Ng, CS; Doi, M; Kopp, A; Tobari, YN.	2009
Drosophila ananassae	Drosophila pallidosa	Laboratory	?	Y	Y	Y	Y	Matsuda, M; Ng, CS; Doi, M; Kopp, A; Tobari, YN.	2009
Liriomyza trifolii	Liriomyza sativae	Laboratory	?	Y	Y	N	N	Sakamaki, Y; Miura, K; Chi, YC.	2005
Drosophila nepalensis	Drosophila trilutea	Laboratory	?	Y	Y	Y	N	Mo, WZ; Li, ZM; Deng, XM; Chen, AL; Ritchie, MG; Yang, DJ; He, ZB; Toda, MJ; Wen, SY.	2021
Anopheles merus	Anopheles coluzzii	Laboratory	?	Y	Y	Y	N	Liang, JT; Hodge, JM; Sharakhov, IV.	2021
Anopheles merus	Anopheles gambiae	Laboratory	?	Y	Y	Y	N	Liang, JT; Hodge, JM; Sharakhov, IV.	2021
Drosophila mojavensis	Drosophila arizonae	Laboratory	?	N	N	N	N	Richmond, MP.	2014
