Sp1,Sp2,Condition,MainTopic,Authors,Year,Article
Hyalophora kasloensis,Hyalophora columbia,Laboratory,Yes,"Collins, MM.",1997,Hybridization and speciation in Hyalophora (Insecta: Lepidoptera: Saturniidae): A reappraisal of W.R. Sweadner's classic study of a hybrid zone
Aricia agestis,Aricia artaxerxes,Field,Yes,"Aagaard, K; Hindar, K; Pullin, AS; James, CH; Hammarstedt, O; Balstad, T; Hanssen, O.",2002,Phylogenetic relationships in brown argus butterflies (Lepidoptera : Lycaenidae : Aricia) from north-western Europe
Yponomeuta padellus,Yponomeuta cagnagellus,Laboratory,Yes,"Hora, KH; Roessingh, P; Menken, SBJ.",2005,Inheritance and plasticity of adult host acceptance in Yponomeuta species: implications for host shifts in specialist herbivores
Yponomeuta cagnagellus,Yponomeuta malinellus,Laboratory,Yes,"Hora, KH; Roessingh, P; Menken, SBJ.",2005,Inheritance and plasticity of adult host acceptance in Yponomeuta species: implications for host shifts in specialist herbivores
Heliconius cydno,Heliconius pachinus,Field,Yes,"Kronforst, MR; Young, LG; Blume, LM; Gilbert, LE.",2006,Multilocus analyses of admixture and introgression among hybridizing Heliconius butterflies
Heliconius melpomene,Heliconius pachinus,Field,Yes,"Kronforst, MR; Young, LG; Blume, LM; Gilbert, LE.",2006,Multilocus analyses of admixture and introgression among hybridizing Heliconius butterflies
Pieris napi,Pieris macdunnoughii,Laboratory,Yes,"Chew, FS; Watt, WB.",2006,"The green-veined white (Pieris napi L.), its Pierine relatives, and the systematics dilemmas of divergent character sets (Lepidoptera, Pieridae)"
Pieris napi,Pieris virginiensis,Laboratory,Yes,"Chew, FS; Watt, WB.",2006,"The green-veined white (Pieris napi L.), its Pierine relatives, and the systematics dilemmas of divergent character sets (Lepidoptera, Pieridae)"
Pieris napi,Pieris marginalis,Laboratory,Yes,"Chew, FS; Watt, WB.",2006,"The green-veined white (Pieris napi L.), its Pierine relatives, and the systematics dilemmas of divergent character sets (Lepidoptera, Pieridae)"
Pieris napi,Pieris microstriata,Laboratory,Yes,"Chew, FS; Watt, WB.",2006,"The green-veined white (Pieris napi L.), its Pierine relatives, and the systematics dilemmas of divergent character sets (Lepidoptera, Pieridae)"
Pieris napi,Pieris oleracea,Laboratory,Yes,"Chew, FS; Watt, WB.",2006,"The green-veined white (Pieris napi L.), its Pierine relatives, and the systematics dilemmas of divergent character sets (Lepidoptera, Pieridae)"
Pieris marginalis,Pieris oleracea,Laboratory,Yes,"Chew, FS; Watt, WB.",2006,"The green-veined white (Pieris napi L.), its Pierine relatives, and the systematics dilemmas of divergent character sets (Lepidoptera, Pieridae)"
Polyommatus agestis,Polyommatus artaxerxes,Field,Yes,"Mallet, J; Wynne, IR; Thomas, CD.",2011,Hybridisation and climate change: brown argus butterflies in Britain (Polyommatus subgenus Aricia)
Ostrinia zealis,Ostrinia zaguliaevi,Laboratory,Yes,"Tabata, J; Ishikawa, Y.",2011,Genetic Basis Regulating the Sex Pheromone Blend in Ostrinia zealis (Lepidoptera: Crambidae) and Its Allies Inferred From Crossing Experiments
Philodila astyanor,Gnathothlibus eras,Field,Yes,"Rougerie, R; Haxaire, J; Kitching, IJ; Hebert, PDN.",2012,DNA barcodes and morphology reveal a hybrid hawkmoth in Tahiti (Lepidoptera: Sphingidae)
Spodoptera littoralis,Spodoptera litura,Laboratory,Yes,"Saveer, AM; Becher, PG; Birgersson, G; Hansson, BS; Witzgall, P; Bengtsson, M.",2014,Mate recognition and reproductive isolation in the sibling species Spodoptera littoralis and Spodoptera litura
Enantia albania,Enantia jethys,Field,Yes,"Jasso-Martinez, JM; Machkour-M'Rabet, S; Vila, R; Rodriguez-Arnaiz, R; Castaneda-Sortibran, AN.",2018,Molecular evidence of hybridization in sympatric populations of the Enantia jethys complex (Lepidoptera: Pieridae)
Enantia albania,Enantia mazai,Field,Yes,"Jasso-Martinez, JM; Machkour-M'Rabet, S; Vila, R; Rodriguez-Arnaiz, R; Castaneda-Sortibran, AN.",2018,Molecular evidence of hybridization in sympatric populations of the Enantia jethys complex (Lepidoptera: Pieridae)
Heliconius melpomene,Heliconius heurippa,Laboratory,Yes,"Merot, C; Salazar, C; Merrill, RM; Jiggins, CD; Joron, M.",2017,What shapes the continuum of reproductive isolation? Lessons from Heliconius butterflies
Heliconius cydno,Heliconius heurippa,Laboratory,Yes,"Merot, C; Salazar, C; Merrill, RM; Jiggins, CD; Joron, M.",2017,What shapes the continuum of reproductive isolation? Lessons from Heliconius butterflies
Papilio helenus,Papilio protenor,Field,Yes,"SPERLING, FAH.",1990,"NATURAL HYBRIDS OF PAPILIO (INSECTA, LEPIDOPTERA) - POOR TAXONOMY OR INTERESTING EVOLUTIONARY PROBLEM"
